Prefixes transited per AS (Global)
----------------------------------

  ASN   No of nets  Description
30682        2      ECOLLEGE-MONACO - eCollege.com, Inc., U
30745        2      SITENETWORK-AS Sakhalin, Russia, RU
30764        2      PODA-AS , CZ
30767        2      TAGILTELECOM-AS , RU
30778        2      KIELMAN-COM-AS, PL
30784        2      ISKRATELECOM-AS SEVEN-SKY, RU
30793        2      GEMINI-ISTS-PL , PL
30827        2      XTRAORDINARY-AS --- Transit providers -
30880        2      SPACEDUMP-AS This ASN is located on STH
30902        2      NEDA-AS , IR
30971        2      NICAT-CORE-AS Jakob-Haringer-Strasse 8,
30999        2      EMTEL-AS-AP, MU
31017        2      GMBNET , RO
31078        2      NETSIGN , DE
31103        2      KEYWEB-AS , DE
31112        2      SIBTEL-AS , RU
31246        2      NETBOX-AS NETBOX Autonomous system, CZ
31251        2      NETGUARD-AS Falco Networks BV provides;
31272        2      WILDPARK-AS ISP WildPark, Ukraine, Niko
31342        2      EU-CLANOTOPIA , DE
31388        2      ASNVPCONNECT , UA
31416        2      APPTEC-NETWORK , SA
31515        2      INMARSAT , GB
31581        2      KOPINT-AS , HU
31649        2      RIPN-FDNS-RU-NYC , RU
31725        2      SHTORM-AS , UA
31797        2      GALAXYVISIONS - Galaxyvisions Inc, US
32107        2      WAVE-CABLE - Wave Broadband, US
32278        2      GETWIRELESS - Getwireless.net, US
32385        2      INTELEPEER-US-BACKBONE - IntelePeer, In
32477        2      ONLINE-TECH-LLC2 - Online Tech, LLC, US
32609        2      CNS - Cooperative Network Services, LLC
32614        2      HDISS-NET - High Desert Internet Servic
32791        2      CHIX-AS - Chi-X Canada ATS Ltd., CA
32867        2      LLI-BLK1 - Long Lines Internet, US
32955        2      MURCOM - MURCOM, LLC, US
33321        2      -Reserved AS-, ZZ
33361        2      THEWIRE - THE WIRE INC., CA
33536        2      COLOC8-INC--CO--PAGEBLOCKER-INC - COLOC
33764        2      AFRINIC-ZA-JNB-AS, MU
33885        2      OWNIT Katarinavagen 15, SE
33934        2      VOLGOGRADEC-AS , RU
34168        2      ELCOM-ISP-AS , RU
34177        2      CELESTE-AS CELESTE - Internet services 
34223        2      N-REGION , RU
34263        2      MPYNET-AS Mikonkatu 16, FI
34267        2      DEBRYANSK-AS-1 , RU
34295        2      ETA-BG-ASN , BG
34315        2      MAXNET-AS , CZ
34358        2      CLAXTELECOM , RO
34362        2      VOLJATEL-HR-AS Zagreb,, HR
34456        2      RIALCOM-AS , RU
34572        2      HELIANTIS-AS , FR
34661        2      BREEZE-NETWORK , UA
34695        2      E4A-AS , IT
34748        2      PORTUS-AS , HR
34770        2      ELITSAT-AS , BG
34863        2      HEXANET , FR
34916        2      DNET-AS Theodor Pallady, 3 X1, D, 169, 
35033        2      FUJITSU-AS , DK
35091        2      TELEDATA-AS Teledata, Ghana, IL
35177        2      ASI-AS , RU
35189        2      ASSOKAZAR-AS http://www.as35189.net/, F
35328        2      SK-DSIDATA , SK
35332        2      DATAWEB DataWeb B.V. - The Netherlands,
35401        2      SUNLINK-AS Sunlink Telecom ISP, Tula, R
35407        2      SMN-AS Kr.Valdemara 21, LV
35518        2      SASAG , CH
35526        2      MASTERBIT-AS , RU
35558        2      IZHNET-AS , RU
35598        2      INETCOM , RU
35612        2      NGI-AS , IT
35662        2      REDSTATION European Network, GB
35810        2      BIGTELECOM-AS , RU
35985        2      ONERINGNET-ATL-1 - One Ring Networks, I
35993        2      AKAMAI-AS - Akamai Technologies, Inc., 
36374        2      STELLAR-ASSOCIATION - Stellar Associati
36436        2      INFOBUNKER - Infobunker, L.L.C., US
36687        2      FREEWIREBROADBAND - Freewire Broadband 
36732        2      COMCAST-36732 - Comcast Cable Communica
36914        2      KENET-AS, KE
36962        2      MTNZ-AS, ZM
36965        2      WIA-TZ, TZ
36977        2      Airtel-UG, UG
37002        2      Reunicable, RE
37033        2      ALINK-CONGO, CG
37057        2      VODACOM-LESOTHO, LS
37119        2      unitel-AS, AO
37125        2      Layer3-NG, NG
37137        2      gateway-ke-as, KE
37187        2      SKYBAND, MW
37213        2      SPICE-NET-TZ, TZ
37233        2      ORANGE-NIGER, NE
37425        2      Somcable, SO
37449        2      ONLIME-SL, SL
37475        2      HTT, CM
37624        2      LinkInc, ZA
37649        2      Tigo, SN
37697        2      webmasters, MZ
37933        2      POLYFONE-AU-AP POLYFONE TELECOM - WIREL
37978        2      NETTAS-AS-AP Networking Tasmania, AU
38505        2      GMNUSANTARA-AS-ID PT Graha Multimedia N
38516        2      INFOKOMNAP-AS-ID Infokom Elektrindo, PT
38753        2      SOLUSINDO-AS-ID Solusindo Bintang Prata
38778        2      DWPNET-AS-ID PT. Dutakom Wibawa Putra, 
38800        2      DIGICELSAMOA-WS-AS-AP Digicel Samoa Ltd
38934        2      PRIDENET-AS Nizhnevartovsk, Russia, RU
38976        2      RU-ATVC-AS , RU
39074        2      IR-SEPANTA-ISP , IR
39133        2      AIGC-AS , PL
39184        2      ULTRANET-AS , BG
39211        2      GNW-ASN39211 , EE
39288        2      CZUBYPL-NET , PL
39310        2      NITRONET , PL
39422        2      SKM-AS Sumy Computer Networks, UA
39603        2      P4NET P4 UMTS operator in Poland, PL
39651        2      COMHEM-SWEDEN , SE
39668        2      INTERSAT-AS Ion Ratiu nr.33, RO
39686        2      ASN-EUROFIBER , NL
39710        2      BETATELECOM , RU
39761        2      ABAK , CZ
39861        2      CSM-AS , RO
39878        2      RAUTER-AS , AT
39906        2      COPROSYS , CZ
39927        2      ELIGHT-AS , RU
39928        2      ASN-1PLUS1 , UA
40061        2      UL-ASN-LAX1 - UnitedLayer, LLC, US
41018        2      OMNILANCE http://omnilance.com, UA
41038        2      MEDIACASTER-AS , NL
41046        2      NEJTV-AS , CZ
41152        2      AFTAB , AE
41302        2      MART-AS , RU
41331        2      MODA-UA-AS , UA
41360        2      NEOCOM-UA , UA
41369        2      DATACENTER-AS , FI
41421        2      AS-SNT ul. Chmielna 132/134, PL
41431        2      COMBACKAS , DE
41589        2      LGTECH-AS , LU
41733        2      ZTELECOM-AS , RU
41750        2      AS-MEGALINE-KG , KG
41789        2      TELEDYNE-AS , RU
41811        2      CONVERGENCE-GROUP , GB
42010        2      ITPS , GB
42014        2      INDRIK-AS , RU
42049        2      NADEJDANET , BG
42090        2      RAPIDBB , IE
42145        2      BSTV-AS , RU
42148        2      BEIREL-AS , RU
42334        2      BBP-AS , LB
42358        2      INSYS-AS , RU
42368        2      LKS-AS , UA
42430        2      HOMELAN Severodonetsk, Ukraine, UA
42455        2      WI-MANX-AS , GB
42459        2      FOBUL-AS , BG
42477        2      CERBEROS , CZ
42516        2      SOVTEST-INTERNET-AS , RU
42518        2      UNETCOM-AS , UA
42546        2      UOS , UA
42574        2      NSPLUS-AS , RU
42596        2      ANTILO-AS , DE
42753        2      MTK-ERA-AS , RU
42772        2      VELCOM-AS , BY
42812        2      DT-IT , NL
42877        2      AKRON-ASN , PL
42947        2      SKYNETLINK-AS , ES
43045        2      SVHOLD-AS , RU
43073        2      ARWO-AS , PL
43082        2      SERVERSPACE-AS , GR
43103        2      ONETELECOM-AS , UA
43109        2      GW-AS , UA
43171        2      MAXNET , PL
43289        2      TRABIA trabia network, MD
43320        2      ASTRATELKOM-AS , UA
43666        2      CTS-AS , RU
43711        2      SZERVERNET-HU-AS , HU
43797        2      RSNET2-AS RSNET2, RU
44009        2      SLEEK-ASN , GB
44020        2      CLN-AS , RU
44050        2      PIN-AS , RU
44141        2      DEVCLIC-AS , FR
44265        2      SMOLTELECOM-NET , RU
44286        2      XIP-AS , AT
44302        2      IECHU-AS , HU
44444        2      FORCEPOINT-CLOUD-EMEA-AS , GB
44507        2      KMTN-AS , RU
44522        2      RIPN-RU-PRG , RU
44575        2      MWTV-AS1 , LV
44622        2      MTK-MOSINTER-AS , RU
44634        2      SIBSVST-AS Networks and communication s
44674        2      CITYNET-RU-AS , RU
44838        2      NET-SVEBUT-AS , SE
44972        2      COBBETT , GB
45014        2      HOSTIT-MK-AS Milton Keynes Facility, GB
45250        2      VOCOM-TW-AS Vocom International Telecom
45273        2      BTRAC-AS-AP Bangla Trac, BD
45294        2      WANXP-AS-ID PT. Wanriau Indoxp, ID
45334        2      AIRCEL-AS-AP Dishnet Wireless Limited, 
45504        2      KINGSPEED-TW-AP 4F-1 NO. 20 Ta-Lung Roa
45513        2      NOVANET-IN Plot # X-16 14TH Street MIDC
45514        2      TELEMEDIA-SMB-AS-AP Bharti Airtel Ltd.,
45595        2      PKTELECOM-AS-PK Pakistan Telecom Compan
45668        2      AIMS-MY-NET AIMS Data Centre Sdn Bhd, M
45710        2      CHOICENET-AS-ID Yudhawira Khatulistiwa,
45729        2      INDONET-AS-AP INDO Internet, PT, ID
45780        2      BROADBANDSOLUTIONS-AS-AP Broadband Solu
45786        2      HTSNET-AS-ID HTSNET - ISP, ID
45953        2      CNAPOPS-AS-AP Catholic Network Australi
45974        2      NHNENTNET-AS-KR NHN Entertainment PlayH
46309        2      TONAQUINT-DC - Tonaquint Data Center, I
46353        2      INTERMAX-AS - Intermax Networks, US
46491        2      MEC-ASN - Metropolitan Educational Coun
46749        2      STANFORD-INTERNET-ACCESS - Stanford Uni
46785        2      QUASAR-DATA-CENTER - QUASAR DATA CENTER
47009        2      TNS-CSG-AS - Transaction Network Servic
47116        2      INTELLIHOME-AS , HU
47118        2      MANNET-AS , RU
47176        2      GASCOMCH , CH
47205        2      HOSTEX HOSTEX autonomous system, LT
47273        2      KSI-KR-AS , PL
47438        2      PSKOVLINE-AS , RU
47441        2      TRUNKM , RU
47478        2      MSTN-AS , RU
47553        2      ITTELECOM-AS , RU
47684        2      FCOMM-AS , RU
47694        2      DIDAN-AS , UA
47697        2      BIX-BG-E , BG
47702        2      DISCOVERY-AS , UA
47724        2      HEADHUNTER-AS , RU
47814        2      SNLV-AS , LV
47902        2      ISP-INASSET-AS , IT
47927        2      WIFIWEB Amsterdam Internet Exchange (AM
47957        2      ING-AS , FR
47961        2      SATLINK , IL
48056        2      REDBEE-AS , NL
48061        2      M-TECH-AS , RU
48092        2      NSB-AS , RU
48229        2      STARLIGHT-AS , UA
48230        2      MONOLITH-AS , UA
48243        2      MIRATEL-UA-AS , UA
48371        2      WESTLAN-AS , RU
48483        2      EASYCASH-GMBH , DE
48484        2      IGN-AS , DE
48500        2      IRPNET-AS , IT
48538        2      TK-REGION-TELECOM-AS , RU
48612        2      RTC-ORENBURG-AS RTC-Orenburg, affiliate
48614        2      ITSOFT-AS , RU
48641        2      SYNTEGRA-AS , UA
48662        2      ITPROVIDER-AS , HU
48897        2      NAU-AS , UA
48940        2      LINK-AS , RU
48948        2      ENERGY-DOT-AS , RO
48950        2      RTCOMM-SIBIR-KRS-AS , RU
48957        2      NETWORK-LVIV-AS , UA
48961        2      WARWICKNET , GB
49029        2      PROLINK-AS PROLINK LLC, UA
49064        2      TELECOMSERVICE-AS , RU
49079        2      NILINGS , SE
49125        2      UTEAM-AS , UA
49242        2      INTERNETUNION1 , PL
49505        2      SELECTEL , RU
49558        2      LIVECOMM-AS Oktyabrya pr-t, 47, RU
49594        2      AIE , FR
49614        2      VIARTCOM , RU
49749        2      VMS-AS , RU
49821        2      BAZA-AS , RU
49897        2      ALIANSNET , RU
49973        2      TELEPORT-TV-AS , RU
49985        2      IP4ISP , CZ
50158        2      CONNECT-LLC-AS , RU
50231        2      SYRION-AS , PL
50309        2      ARCADIZ , BE
50316        2      TELEIMPIANTI-ASN , IT
50360        2      TAMATIYA-AS , BG
50469        2      HESSENKOM-DE , DE
50473        2      ECO-AS , RU
50481        2      FIBERTECH , PL
50503        2      TP-AS , FI
50643        2      LURENET-AS , UA
50767        2      FIBERLINK-AS , PL
50821        2      ASHPDC , SE
50837        2      CLOUDSIGMA-AS , CH
50986        2      EXCELLENT-HOSTING , SE
51018        2      GORANNET-AS , IQ
51069        2      ASDNEPRONET , UA
51172        2      DOMREG-UNI-AS , LT
51188        2      CRESCOM-AS Helsinki, Finland, FI
51219        2      CROC_INC , RU
51346        2      TOJIKTELECOM-AS , RU
51483        2      SASG Cecinastr. 70, DE
51543        2      SAMARA-TTK , RU
51606        2      GLOBICO-AS , CY
51765        2      ASEUHOST , FI
51790        2      SIEL , SI
51813        2      DARTEL , RU
51973        2      KOLT-AS , RU
51985        2      ADENIS-AS , FR
52116        2      ORIONTELEKOMTIM-AS , RS
52146        2      VIVA-NET-AS , MD
52210        2      ASRETELECOM-SP , IR
52245        2      UFINET PANAMA S.A., PA
52389        2      SSCS BV, BQ
52597        2      Unimundi Convergencia Ltda - ME, BR
52761        2      MARP Solution Provider, BR
52836        2      SNT Banda Larga e Internet Ltda, BR
52981        2      Conecta Tecnologia LTDA, BR
52988        2      Aki Provedor de Internet Ltda, BR
52999        2      STARTNET COMERCIO E SERVICOS DE INFORMA
53004        2      Downup Telecomunicacoes e servico LTDA,
53070        2      T-Systems Telecomunicações e Serviços L
53071        2      Tecnoasp Tecnologia e Serviços de Comun
53097        2      Lizitec Informática Ltda - ME, BR
53121        2      Infornet Consultoria e Assessoria Ltda,
53240        2      Net Onze Provedor de Acesso a Internet 
53471        2      COLORADO-TELEHEALTH-NETWORK - Colorado 
53486        2      NRBN - Niagara Regional Broadband Netwo
53927        2      ACI-WORLDWIDE - ACI Worldwide, Inc., US
54103        2      MODMC - MOD Mission Critical, US
54240        2      SN-2006 - Syndeo Networks, Inc, US
54301        2      IPHASE-AS - Interphase Communications, 
54312        2      ROCKETFUEL - Rocket Fuel Inc., US
54540        2      INCERO - Incero LLC, US
54600        2      PEGTECHINC - PEG TECH INC, US
54607        2      APOG-DFW - Apogee Telecom Inc., US
54945        2      RACK59 - RACK59 Partners, LLC, US
55039        2      NWEDNET-1 - Ednetics, Inc., US
55077        2      LSTI-OH0 - LIGHT SPEED TECHNOLOGIES LLC
55199        2      AS-METCOM - Metcom Network Services, In
55405        2      ICONZ-WEBVISIONS-AP Iconz-Webvisions Pt
55427        2      BROADLINK-AS-AP Broadlink Nepal, NP
55668        2      JABARTELNET-AS-ID PT Jabar Telematika, 
55707        2      SIMTRONIC-AS-AP Simtronic Technologies 
56079        2      SECURITON-AS Securiton Technologies Int
56132        2      MONASHUNI-AU-AS-AP Monash University, A
56218        2      QGPOP-AS-AP QGPOP, JP
56264        2      TOMATOWEB-BD Tomato Web (Pvt) Limited, 
56309        2      SIAMDATA-TH 408 Fl4 CATTOWER, TH
56385        2      NTKTV-AS , UA
56399        2      AYOL-NET , UA
56449        2      MULTIHUNER-PL , PL
56689        2      ELTL-AS , RU
56694        2      DHUB , RU
56911        2      ASN-WARIAN Internet Service Provider, I
56949        2      LANNET-AS , PL
57055        2      MATRIX-NET-AS , PL
57069        2      ASDCC , CZ
57087        2      BORNET-GMBH , DE
57129        2      RU-OPTIZON , RU
57227        2      ASSUBNET05 , RU
57324        2      MASARAT , IQ
57681        2      ASN-MGTS-USPD2 , RU
57735        2      HEF-FIBERNET-AS , DK
57918        2      ACOD-AS , RU
57982        2      AMIK-AS , UA
58010        2      UVENSYS , DE
58055        2      EXTRATEL-NET1-AS , UA
58095        2      LANLINK-AS , RU
58142        2      RASANE-AS Samaneh Sama Pishro Persian, 
58173        2      ONWAVE , IE
58381        2      WOWRACK-AS-ID Wow Internet Indonesia, I
58436        2      SECUREAX-SG-AS-AP SECUREAX PTE LTD, SG
58443        2      RACK-CENTRAL-AS-AP RackCentral, NZ
59196        2      KOSNET-AS Kavish online services privat
59258        2      IGSSPL-SG 150 cecil street #14-03, SG
59460        2      ASN-M3NET , PL
59507        2      TLN-AS , DE
59545        2      VXBITS VXbits Network, NL
59699        2      NICEBLUE-AS , IT
59872        2      IPAY , LU
59962        2      SHIRAZUNIVERSITY_ASN , IR
60015        2      CODESTONECLOUD , GB
60032        2      CCS-CORIOLIS-MYSTREAM , FR
60039        2      GEOTELCO , CY
60062        2      THREEDATA-AS remarks: Data Center "M8",
60259        2      SIMAFELAGID-ASN , IS
60268        2      DCC-ASN Digital Communication Palestine
60447        2      I_NET_BULGARIA , BG
60589        2      LIQUID-AS , PL
60624        2      MYNETPL-AS , PL
60800        2      NHL-AS1 , GB
60879        2      SYSTEMPROJECTS-AS Krasnoyarsk, RU
60890        2      CENTRALNIC-ANYCAST-B CentralNic Anycast
60953        2      PROTEX-AS , UA
61130        2      SOURCE-MANAGED-SERVICES , GB
61211        2      DATACROSS , HR
61452        2      Restel S.A., AR
61510        2      Cooperativa Telefonica de Calafate Ltda
61655        2      Masteronline Provedor SCM Ltda-me, BR
61911        2      RIDERSON MENDES BORGES - ME, BR
61913        2      wds telecom e tecnologia da informacao,
61955        2      COLOCATIONIX-AS , DE
62000        2      GRPPH-AS , FR
62023        2      NYNEX , DE
62292        2      EZIT-AS , HU
62421        2      ASN-NDC , PL
62627        2      COLUMBUS-BUSINESS-SOLUTION-PUERTO-RICO 
62710        2      RACK911 - Rack911, US
63152        2      DENVERCOLO - DenverColo.net, LLC, US
63213        2      ASTUTEHOSTING-VALUE - Astute Hosting In
63374        2      INCREDIBLETECH - Incredible Technologie
   12        1      NYU-DOMAIN - New York University, US
   13        1      DNIC-AS-00013 - Headquarters, USAISC, U
   17        1      PURDUE - Purdue University, US
   32        1      STANFORD - Stanford University, US
   34        1      UDELNET - University of Delaware, US
   55        1      UPENN - University of Pennsylvania, US
  278        1      Universidad Nacional Autonoma de Mexico
  378        1      MACHBA-AS ILAN, IL
  493        1      AFCONC-BLOCK1-AS - 754th Electronic Sys
  497        1      AFCONC-BLOCK1-AS - 754th Electronic Sys
  567        1      ASN-LNET-AS - Los Nettos, US
  715        1      WOODYNET-2 - WoodyNet, US
  760        1      UNIVIE University of Vienna, Austria, A
  779        1      FR-RENATER-VIKMAN Reseau Regional VIKMA
 1120        1      ACONET_SERVICES ACOnet Services @ Vienn
 1126        1      VANCIS Vancis Advanced ICT Services, NL
 1294        1      DELL-NETPLEX-AS - Dell Systems Corporat
 1421        1      WANSECURITY - WANSecurity, Inc., US
 1504        1      DNIC-AS-01504 - Headquarters, USAISC, U
 1625        1      CORESPACE - CoreSpace, Inc., US
 1645        1      PACHEZ - PACHEZ HOLDINGS LTD., CA
 1668        1      AOL-ATDN - AOL Transit Data Network, US
 1696        1      CITIGROUP-1696 - Citigroup, US
 1723        1      FR-RENATER-R3LR6 Reseau Regional de la 
 1886        1      BTNET , HR
 1936        1      FR-RENATER-PICARDIE Reseau Regional Pic
 1945        1      FR-LYRES Lyon Recherche et Enseignement
 1982        1      ASN-NWNEXUS - Northwest Nexus Inc., US
 2065        1      FR-RENATER-HDMON Reseau metropolitain d
 2697        1      ERX-ERNET-AS Education and Research Net
 2818        1      BBC BBC Internet Services, UK, GB
 2848        1      MSU Vorobjovy Gory, Moscow, Russia, RU
 2861        1      , DE
 2899        1      SPRO-NET - SOLUTION PRO, US
 3081        1      CITI15 - Citicorp, US
 3130        1      RG-BIWA - RGnet, LLC, US
 3202        1      ASDIGITALSCREENS , UA
 3210        1      SECURE-DATA-AS , RO
 3221        1      EENET-AS, EE
 3229        1      ISS-AS , RU
 3253        1      , RU
 3268        1      CYNET, CY
 3291        1      PSINET-EUROPE PSINet Europe / VIA NET.W
 3344        1      BURSTFIRE Internet Solutions Provider, 
 3527        1      NIH-NET - National Institutes of Health
 3541        1      DNIC-AS-03541 - DoD Network Information
 3598        1      MICROSOFT-CORP-AS - Microsoft Corporati
 3644        1      SPR-VPN - Sprint, US
 3676        1      UIOWA-AS - University of Iowa, US
 3685        1      BUFFALO-ASN - State University of New Y
 3700        1      CLOUD9 - Cloud 9 Internet, Inc., US
 3745        1      DELL-SERVICES-FTC - Dell Systems Corpor
 3766        1      DNDCFNET2 - Department of National Defe
 3807        1      UMTNET-ASN - University of Montana, US
 3923        1      FAA-MMAC - Federal Aviation Agency, US
 3943        1      DMM - Cisco Systems, Inc., US
 4049        1      CCL-AS-AP Computer Concepts Limited, NZ
 4150        1      SUPRANET-WIS - SupraNet Communications,
 4151        1      USDA-1 - USDA, US
 4445        1      CWI-AS - Cable & Wireless Americas Oper
 4540        1      ASN01-SOGE - SOGETEL INC, CA
 4544        1      CONXION-A - ConXioN Corporation, US
 4609        1      CTM-MO Companhia de Telecomunicacoes de
 4678        1      FINE Canon IT Solutions Inc., JP
 4773        1      MOBILEONELTD-AS-AP MobileOne Ltd. Mobil
 4796        1      BANDUNG-NET-AS-AP Institute of Technolo
 4844        1      SUPERINTERNET-AS-AP SuperInternet ACCES
 4845        1      SINGTEL-TW Chung Hsiao East Road, TW
 4853        1      COMMANDER-AS-AP Commander Communication
 4913        1      NET-CPRK - Harris CapRock Communication
 4972        1      UPS-AS4972 - UNITED PARCEL SERVICE, US
 5017        1      CITICTEL-CPC-AS5017 CITIC Telecom Inter
 5061        1      CLEARBLUE-AS - ClearBlue Technologies, 
 5104        1      ATTIS-ASN5104 - AT&T Internet Services,
 5107        1      ATTIS-ASN5107 - AT&T Internet Services,
 5390        1      EURONET , NL
 5425        1      SPIDERNET Nicosia, CY
 5433        1      ROKSON-AS ROKSON-NW, RU
 5464        1      NETDISCOUNTER Germany, DE
 5468        1      URFU , RU
 5495        1      ASN-SPBGU St.Petersburg, Russia, RU
 5504        1      LOGOSNET , CY
 5513        1      TMH Kaposvar str. 5-7., HU
 5523        1      RMT , RU
 5542        1      MINISTRY-OF-HEALTH , IR
 5582        1      GBILU-AS , PL
 5606        1      KQRO Bucharest ROMANIA, RO
 5661        1      USF - UNIVERSITY OF SOUTH FLORIDA, US
 5662        1      ASN-TBS-1 - Turner Broadcasting, US
 5669        1      -Reserved AS-, ZZ
 6025        1      DNIC-ASBLK-05800-06055 - DoD Network In
 6197        1      BATI-ATL - BellSouth Network Solutions,
 6203        1      ISDN-NET - The Nexus Group, Inc., US
 6306        1      TELEFONICA VENEZOLANA, C.A., VE
 6332        1      Telefonos del Noroeste, S.A. de C.V., M
 6419        1      IDD - IDD Enterprises, LP, US
 6423        1      EASYSTREET-ONLINE - EasyStreet Online S
 6473        1      WCIXN4 - WCIX.Net, Inc., US
 6479        1      MCHENRY - McHenryCom Company, US
 6576        1      SUMMITCOMM - SUMMIT COMMUNICATIONS SYST
 6580        1      GWTC-ASN - Golden West Telecommunicatio
 6584        1      MICROSOFT-GP-AS - Microsoft Corporation
 6594        1      RISE-IDAHO - JAB Wireless, INC., US
 6684        1      RTCOMM-SIBIR-IRKUTSK-AS , RU
 6699        1      URAN-AS , RU
 6735        1      SDTNET , DE
 6758        1      AS6758 , MC
 6778        1      AS-EXATEL , PL
 6782        1      BDNET , SE
 6856        1      IC-VORONEZH-AS Informsvyaz - Chernozemy
 6858        1      COMLINK-AS St.Petersburg, Russia, RU
 6880        1      , RU
 6912        1      HCSNET-ASNBLK - Hayes Computer Systems,
 6913        1      HCSNET-ASNBLK - Hayes Computer Systems,
 6921        1      ARACHNITEC - Arachnitec, INC., US
 6954        1      NACS - New Age Consulting Service, US
 7057        1      MANAGEDNETWORK - Managed Network System
 7066        1      NETWORK-VIRGINIA-AS - Network Virginia,
 7091        1      VIANET-ASN - ViaNet Communications, US
 7151        1      BAYAREA-AS - Bay Area Internet Solution
 7155        1      VIASAT-SP-BACKBONE - ViaSat,Inc., US
 7175        1      ERX-AUSSIE aussie.net Pty Limited, AU
 7194        1      BWP - City of Burbank, US
 7250        1      SURRY-TELEPHONE-MEMB-CORP - Surry Telep
 7270        1      NET2PHONE - IDT Corporation, US
 7315        1      COLOMBIA TELECOMUNICACIONES S.A. ESP, C
 7352        1      WECOM-INC - Wecom Inc, US
 7453        1      ACCELERATION - ACCELERATED DATA WORKS, 
 7469        1      CCLOUD-AS-AP Comwire Cloud Pty Ltd, AU
 7489        1      HOSTUS-GLOBAL-AS HostUS, HK
 7514        1      MEX Computer Engineering & Consulting, 
 7530        1      BBTOWER-LAB BroadBand Tower, Inc., JP
 7540        1      HKCIX-AS-AP HongKong Commercial Interne
 7583        1      MESSAGELABS-AP MessageLabs - Now Part o
 7598        1      FORCEPOINT-CLOUD-APAC-AS Forcepoint Clo
 7642        1      DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun
 7657        1      VODAFONE-NZ-NGN-AS Vodafone NZ Ltd., NZ
 7714        1      NETLINK-NZ-AS-AP TelstraClear Ltd, NZ
 7794        1      GOLDEN - Golden Triangle On Line, CA
 7806        1      ASN7806 - Binary Net, LLC, US
 7828        1      DRMSCPASN - Northland Communications, U
 7829        1      ASN-NEXTWEB-R2 - Nextweb, Inc, US
 7832        1      PCISYS - WW/Precision Communication, US
 7861        1      TELUS-7861 - TELUS Communications Inc.,
 7925        1      WVNET - West Virginia Network for Educa
 8008        1      ETC-60-AS - ENHANCED TELECOMMUNICATIONS
 8148        1      TIES - TIES, US
 8193        1      BRM , UZ
 8246        1      GTS-POLSKA-AS ul. Marynarska 15, PL
 8247        1      CALLTRADE-ZURICH , CH
 8265        1      FASTNET-BKB-ASN Network & Application P
 8310        1      PACWAN-ASN , FR
 8319        1      NETHINKS-AS Bahnhofstr. 16, D-36037 Ful
 8330        1      LONAP LONAP Ltd, GB
 8338        1      EQUANTRO Bucharest Romania, RO
 8375        1      KDDI Deutschland GmbH, DE
 8387        1      T-SYSTEMS-AT Rennweg 97-99, AT
 8395        1      EAST-AS , RU
 8401        1      MAILBOX , GB
 8419        1      HOTCHILLI , GB
 8431        1      AS8431 Sofia, Bulgaria, BG
 8440        1      SNCNET-AS SNC Autonomus System, RU
 8462        1      TARR1 , HU
 8508        1      SILWEB-AS-EDU SILWEB Autonomous System 
 8511        1      AS8511-AI Bishkek, Kyrgyzstan, KG
 8522        1      FORTH-AS , GR
 8569        1      MSYS , DE
 8580        1      SANDY Nizhny Novgorod, Russia, RU
 8601        1      Odesssa, Ukraine, UA
 8608        1      QINIP Esprit Telecom B.V., NL
 8646        1      CLOUDINFRASTACK , CZ
 8649        1      WEBTRAFFIC , DE
 8664        1      ICM-PUB public network services, PL
 8692        1      BRZ , AT
 8723        1      INTEGRA-AS , FR
 8744        1      MEGAMAX-AS Nizhny Novgorod,, RU
 8752        1      ASVT-NETWORK Russia, RU
 8775        1      ICMM , RU
 8794        1      FAZ Hellerhofstrasse 2-4, DE
 8821        1      TELEZUG Telecommunication and Cable TV 
 8828        1      BURNET-AS , RU
 8865        1      ASN-BIAMAN-EDU MSK BIAMAN, PL
 8870        1      OVDC-AS , UA
 8877        1      POWERNET-AS , BG
 8890        1      UW-AS , PL
 9032        1      EDUNET-AS Moscow, Russia, RU
 9086        1      ASN-DOCKLANDS-DATA-CENTRE-LTD DDCL(Qi C
 9113        1      VLANT-AS , RU
 9193        1      CONXIONEU , NL
 9205        1      SNS-AS , UA
 9246        1      GTA-AP Teleguam Holdings, LLC, GU
 9298        1      GHXTNET Beijing GuanghuanXuntong Digita
 9313        1      ONTHENET-AS Network Technology (AUST) P
 9328        1      DATACOM-AU Datacom, AU
 9336        1      WWWIRES-AU World Without Wires Pty Ltd,
 9471        1      VINI-PF-AP VINI SAS, PF
 9484        1      MOBINET-AS-MN Mobinet LLC. AS Mobinet I
 9526        1      KOSCOM-AS-KR KOSCOM, KR
 9556        1      IINET-AU iiNet Limited, AU
 9558        1      PRIMECROWN-AS-IN PrimeCrown Technologie
 9657        1      MELSANET-ID-AP Melsa-i-net AS, ID
 9716        1      FOXTEL-AS-AP FOXTEL Management Pty Ltd,
 9738        1      BRENNANIT-AS9738-AP Brennan IT, AU
 9871        1      KBE-AS-KR Gyeong Sang Buk-Do Office of 
 9893        1      DSE-VIC-GOV-AS CenITex, AU
 9927        1      PHILCOMNET-PH A Multihomed ISP Company,
 9988        1      MPT-AP Myanma Posts and Telecommunicati
10022        1      DSLAK-AS-AP Internet access for Datacom
10094        1      BRUNET-ASN BruNet - Telekom Brunei Berh
