15M          Fifteen minutes
RLST         Release status
RLT          Remote line test
RLT          Remote loop test
RLY          Miscellaneous relay
RM           Remark
RMA          Request for manual assistance
RMAC         Remote memory administration center
RMAS         Recent message automatic system
RMAS         Remote memory administration
RMAS         Remote memory administration system
RMK          Hunt group remarks
RMK          Remarks
RMK          Remarks on cable pair
RMK          Remarks on office equipment
RMK          Remarks on orders
RMK          Remarks on telephone number
RMM          Remote maintenance module
RMP          Recent change punctuation table
RMPK         Remote shelf
RMR          Remote message registers
RMS          Remote mean square
RMS          Root-mean-square
RMS-D        Remote measurment system-digital
RMS-D1       Remote measurment system-digital signal level one
RMS-D1A      Remote measurment system-digital signal level one access
RMS-M        Remote measurment system-metallic (through SMAS)
RMS-MS       Remote measurment system-metallic small (through SMAS)
RMV          Remove
RMV          Removed from service - 1AESS remove
RN           Reference noise
RN           Ring node
RNA          Release telephone numbers for assignment
RNG          Ringing
RNGS         Rings
RNMC         Remote network management center
RNO          Rss subentity number
RNOC         Regional network operations center
RNR          Receive not ready (LAP-D command/response)
RO           Receive only
RO           Routine other.
ROB          Remote order buffer
ROC          Regional operating company
RODD         Redundant ODD
ROE          Reservation order establishment
ROE          Rss's office equipment
ROH          Receiver off hook
ROI          Reservation order inquiry
ROK          Republic of korea
ROM          Read-only memory
ROOT         System manager for some unix os and COSMOS
ROP          Receive-only printer
ROSE         Remote operation service element (TCAP subset)
ROTF         Operational trouble.
ROTL         Remote office test line
ROTLS        Remote office testline system
ROUT         Routes
ROW          Reservation order withdrawal
RP           Repeater
RPFC         Read power feed current value (IOM2 monitor command)
RPM          Recent change parameters
RPO          Regional procurement organization
RPOA         Recognized private operating agency
RPT          Repeated
RPT          Report
RQ           Rpntr
RQS          Rate/quote system
RQSM         Regional quality service management
RQST         Request
RR           Receive ready (LAP-D command/response)
RRCLK        Remote clock circuit pack
RRO          Reports receiving office
RS           Radiated susceptibiltiy (EMS)
RS           Record separator (ascii control)
RS           Repair service
RS           Reset
RSA          Repair service attendant
RSAT         Reliability and system architecture testing
RSB          Repair service bureau
RSB          Repair servicenbureauem
RSC          Remote switching center
RSC          Reset confirm (SS7: in SCCP and ISUP)
RSC          Residence service center
RSCS         Remote source control system
RSE          Remote service equipment
RSHF         Remote concentration line shelf
RSIT         Remote site
RSLC         Remote subscriber line module controller
RSLE         Remote subscriber line equipment
RSLM         Remote subscriber line module
RSM          Remote switching module
RSS          Remote switching system
RST          Reset received (outgoing)
RST          Resistance test
RST          Resistance test (SARTS command)
RST          Restore
RST          Restored to service status - 1AESS restore
RSTS/E       Resource system time sharing/enhanced
RSU          Remote switching unit
RSY          Resynchronizing (C/I channel code)
RSYD         Rsy downstream
RSYU         Rsy upstream
RT           Radio landline INTER/TRA blocal 1-26
RT           Remote terminal
RT           Remote terminal (opposite to cot)
RT04         Status of monitors - ringing and tone plant-1AESS
RTA          Remote trunk arrangement
RTA          Remote trunking arrangement
RTAC         Regonal Technical Assitance Center
RTAC         Remote a trunk assembler center
RTB          Retransmission buffer
RTCA         Radio technical commission of aeronautics
RTEST        Tops remote test
RTF          Release timeout failure
RTH          Report transaction to count spare and diped line equipment
RTI          Route index
RTIME        Release time (update database time)
RTL          Resistor-transistor logic
RTM          Regional telecommunications management
RTM          Remote test module
RTN          Return to normal (in EOC)
RTOC         Resident telephone order center
RTP          Rate treatment package
RTP          Remote test point (RTS-5A)
RTPP         Remote test port panel
RTR          Route TReatment (GTE)
RTRV         Retrieve
RTS          Relay and telephone number status report
RTS          Remote test unit
RTS          Remote testing system
RTS          Request to send
RTS          SMAS remote test system located in central offices
RTSE         Reliable transfer service element
RTSI         Receive time slot interchanger
RTU          Remote trunking unit
RTU          Right to use
RTZ          Rate zone
RU           Receive unit
RUM          Remote user multiplex
RUP          Request unsolicited processing
RV           Review
RVDT         Review date and time
RVPT         Revertive pulsing transceiver
RVPT         Revertive pulsing transceivers
RW           Read/write permission
RWC          Remote work center
RX           Remote exchange
RZ           Resistance zone
RZ           Return to zero
RxSD         Receive serial data
S            Date and time report received.
S            Seconds
S            Send toscreener
S            Sleeve
S            Start dial signal
S&E          Service & equipment
S-           Supervisory (S-frames)
S-N          Signal-to-noise ratio
S/R          Send/receive key
S1DN         Stage one distribution network
S96          SLC 96
SA           Sattelite trunk INTER/TRA blocal 1-26
SA01         Call store memory audit results - 1AESS software
SAA          System applications architecture (for ps/2)
SABME        Set asynchronous balanced mode (ABM) extended (LAP-D command)
SAC          Service access connector (-> sipb)
SAC          Service area computer
SAC          Special area code
SAC          Switch activation
SAD          System access delay
SAG          Street address guide
SAI          S activity indicator (in EOC)
SAI          Serving area interface
SAI          Summary of action items
SALI         Standalone automatic location identification
SAM          Subsequent address msg. (SS7: in ISUP)
SAMA         Step by step automatic message accounting
SAMEM        Stand-alone billing memory
SANE         Signaling area/network code (SS7)
SAP          Service access point
SAPI         Service access point identifier
SAR          Store address register
SARTS        Switch access tremote test system
SARTS        Switched access remote test system
SAS          Switched access service
SASWF        Save all seems well failure flip flop
SAT          Special access termination
SAT          Supervisory audio tone
SAT          System access terminal
SAW          Surface acoustic wafe (filter)
SB           Switched access-standard-service code for LATA access
SBC          S bus interface circuit
SBCX         SBC extended
SBI          Synchronous backplane interconnect
SBLN         Standby line
SBMS         Southwestern bell mobile service
SBS          Skyline business systems
SBUC         S bus connector
SC           Scanner controller
SC           Sectional center
SC           System controller
SC/SD        Scan and signal distributor
SCA          Service order completion-automatic
SCANS        Software change administration and notification system
SCAT         Stromberg-carlson assistance team
SCC          Specialized common carrier
SCC          Station cluster controller
SCC          Switching control center
SCC          Switching control center.
SCCP         Signaling ccp (SS7: q.71x)
SCCP         Signaling connection control part
SCCS         Specialized common carrier service
SCCS         Switching control center system
SCF          Selective call forwarding
SCF          Simple completion for mdf
SCH          Test scheduale (command)
SCHED        Scheduled
SCI          Spare cable pair inquiry
SCL          Station clock
SCLK         Slave clock
SCM          Scramble coder multiplexer
SCM          Standard completion by mdf
SCM          Subscriber carrier module
SCM          Subscriber carrier module (DMS-1 digital pair gain system NTI)
SCO          Serving central office
SCOT         Stepper central office tester
SCOTS        Surveillance & control of transmissions system
SCP          Service control point
SCP          Service order completion by LAC
SCP          Signal control point
SCP          Signal conversion point
SCP          System control program
SCPC         Signal channel per carrier
SCPD         Supplementary central pulse distributor
SCR          Selective call rejection
SCR          Signaling configuration register
SCR          Standard completion by rcmac
SCRC         Send corrected reference equivalent
SCRN         Screening translations
SCS          SCM-10S Shelf (SLC-96)
SCS          SCM-10S shelf (SLC-96)
SCSDH        Scanner and signal distributor handler
SCU          Selector control unit
SCX          Specialized communications exchange
SD           Slip detected
SD           Switched access-improved-service code for LATA access
SD&D         Specific development & design
SDACS        Serving digital accessed and cross-connect system
SDC          Sales development center
SDD          Site dependent data
SDDF         Subscriber digital distributing frame
SDE          Submission/delivery entity (x.400)
SDIS         Switched digital integrated service
SDL          Specification and description language
SDLC         Synchronous DLC
SDLC         Synchronous data link control
SDLH         Synchronous data link handler
SDM          Space division multiplex
SDN          Software defined network
SDN          Software-defined network
SDNBAS       Call failed due to the query's being blocked at the switch
SDNBN        Call failed due to the query's being blocked in the CCS network
SDNGTCAP     Garbled TCAP message received
SDNNCANI     CAMA call failed due to CAMA trunk's not providing ANI for query
SDNNCFA      Call failed while the transaction with the NCP was active
SDNNCFI      Call failed while the transaction with the NCP was inactive
SDNNOCANI    CAMA call failed due to CAMA trunk's not providing ANI through ONI for query
SDNRER       Call failed because to the conversation with the NCP resulted in a return error
SDNRER       Call failed because to the conversation with the NCP resulting in a return error
SDNRR        Call failed because to the conversation with the NCP resulted in a reject respon
SDNRR        Call failed because to the conversation with the NCP resulting in a reject respo
SDNTIM       Call failed due to the query's not being answered in time by the NCP
SDNTRF       Call failed due to the NCP's answering with a terminate request
SDOC         Selective dynamic overload controls
SDP          Service delivery point
SDP          Submission and delivery protocol (x.411)
SDPT         Signal distribution points
SDR          Store data register
SDR          Switch data report
SDS          Switched data service
SDS          Synchronous data set
SDSC         Synchronous data set controller
SDT          Software development tools
SE           Special access wats-access-std-service code for LATA access
SE           Special service equipment number
SEAS         Signaling engineering and administration system
SEAS         Signalling engineering and administration systems
SEC          Second
SEC          Signal level behind the echo canceller (C/I channel code)
SEE          Systems equipment engineering
SEG          Segment
SEL          Digital selector (in TMS)
SEL          Selecting lines for an exchange class of service study
SER#         Seral number
SES          Service evaluation system
SES          Unk    (administrative system)
SET          Statistics on equipment and telephone numbers
SET          Strategy execution table
SF           Service field
SF           Signal format
SF           Single frequency.
SF           Special access- WATS access line improved-service code for LATA
SF           Status field (SS7)
SFB          Set next febe to zero
SFD          Superframe detected (C/I channel code)
SFG          Simulated facilities
SFG          Simulated facilities group
SFG          Simulated facility group
SFG          Simulated facility group (SFG) measures.
SFMC         Satellite facility management center
SFN          Simulated facility number
SFV          Signal format verification
SFV          Signaling format verification (SARTS command)
SG           Control/remote metering signal grade INTER/TRA blocal 1-26
SG           Supergroup
SG           Switch group (SG) (also known as half-grid)
SGC          Switching group control
SGD          Failure to receive station group designator (SGD)
SGH          Select graphic rendition (teletex)
SGH          Supply relays for groups of 5xb hunts
SGL          Single
SGML         Standard generic markup language
SGMP         Simple gateway management protocol
SGN          Common language segment number
SHI          Select horizontal spacing (teletex)
SI           Sequenced information
SI           Service indicator
SI           Shift in (ascii control)
SI           Status indicator
SI           Synchronous interface
SIC          Silicon integrated circuit
SICOFI       Signal processing codec filter
SICOFI2      2 channel sicofi
SID          System identification
SIDB         Session information data base
SIDES        Siemens ISDN software development and evaluation system
SIF          Signaling information field (SS7)
SIG          Signaling
SIG          Signaling equipment (in a trunk)
SIGI         Sigi
SIGS         Signaling strobe
SILC         Selective incoming load control
SILC         Selective incoming load controls messages.
SIM          System integrity monitor
SIN          Status indication normal alignment
SIO          Service information octet (SS7)
SIP          Serial interface port
SIPB         Siemens ISDN pc user board
SIPB 5XXX    SIPB modules
SIPB 7XXX    SIPB configurations
SIPMOS       Siemens PMOS
SIPO 6XXX    Siemens ISDN pc software object code
SIPS 6XXX    Siemens ISDN pc software source code
SIR          Sorting inquiry by range
SIS          Special identifying telephone number supplement
SIT          Special identifying telephone number
SIT          Special information tones
SITAC        Siemens isolated thyristor AC
SITE         Site assignments
SITEST       Siemens ISDN protocol software test tools
SIU          Subscriber line interface unit
SJ           Limited switched access line-service code for LATA access
SK           Skip
SK           Skip option
SL           Secretarial line INTER/TRA blocal 1-26
SL           Subscriber line
SLA          Subscriber line adress
SLB          Subscriber line busy
SLC          Signaling link code (SS7)
SLC          Subicer loop carrier
SLC          Subscriber line counts for custom calling features
SLC          Subscriber loop carrier
SLD          Subscriber line data (bus)
SLE          Screen list editing
SLE          Screening line editor
SLEN         SLC line equipment number
SLIC         Subscriber line interface circuit
SLIM         Subscriber line interface module
SLIM         Subscriber loop interface module
SLK          Signaling link
SLM          Subscriber line module
SLMA         SLM analog
SLMD         SLM digital
SLPK         SLC-96 pack
SLRF         Systemiletterntenance results feature (eadas)
SLS          Signaling link selection (SS7)
SLSN         Unk  COSMOS
SLU          Special studies
SM           Same
SM           Sampling INTER/TRA blocal 1-26
SM           Service module
SM           Speech memory
SM           Switch module
SM           Switching modual
SM           Switching module
SM           Synchronous multiplexor
SMAC         Service and maintance administration center
SMAS         Switched maintance access system
SMAS         Switched maintance access system (provides access to the RMS-M and RTS)
SMASF        SMAS frame
SMASPU       SMAS power unit
SMD          Surface mounted device
SMDF         Subscriber main distributing frame
SMDI         Subscriber message desk interface
SMDR         Station message detail record
SMDR         Station message detail recording
SMDR         Station message detailed recording
SMDS         Switched multi-megabit data service
SMF          Sub multi frame
SMG          Supermastergroup
SMM          SARTS maintence manager (VAX 1/780)
SMP          SARTS maintance position (TP 52a)
SMPU         Switch Module Processor Unit
SMS          Service management system
SMS          Station management systems
SMS          Switching Module System
SMSA         Standard metropolitan statistical area
SMTP         Simple mail transfer protocol
SMU          Subscriber module urban
SMU          System master unit
SN           Sequence number
SN           Special access termination INTER/TRA blocal 1-26
SNA          System network architecture (IBM)
SNA          Systems network architecture
SNADS        System network architecture distribution service
SNET         Southern new england telephone
SNF          Serial number format
SNL          Signaling link  (CCS7)
SNLS         Signaling link set (CCS7)
SNRS         Signaling network route set (CCS7)
SNS          Service network system
SO           Service order
SO           Shift out
SOAC         Service order analysis and control
SOB          Service observing assignments
SOB          Service observing tag
SOC          Service order cancel
SOC          Service oversight center
SOCC         Standard optical cable code
SOCC         Switching operation control center
SODC         Service order delayed completion
SOE          Service order establishment
SOE          Standrard operating environment
SOF          Service order fix
SOH          Service order history
SOH          Service order withheld
SOH          Start of header
SOI          Service order assignment inquiry
SOI          Service order image
SOL          Service order listing
SOM          Modify a pending service order
SONAR        Service order negotiation and retrieval
SONDS        Small office network data system
SONET        Synchronous optical network
SORD         Service order dispach
SOW          Service order withdrawal
SP           Signal p
SP           Signal point (switching office in SS7)
SP           Signal processing
SP           Signal processor
SP           Signaling point
SP           Stimulus protocol
SPA          Special access
SPACE        Service provisioning and creation environment
SPAN         Space physics analysis network
SPAN         System performance analyzer
SPARED       Line involved in ISLU sparing configuration.
SPC          Signaling poiny code (SS7)
SPC          Southern pacific communications
SPC          Stored program control
SPC          Stored program controlled
SPCR         Serial port control register
SPCS         Stored program control system
SPCS         Stored programacontrolnsystem
SPCS COER    Stored-program control system/central office equipment report
SPCSS        Stored program control switching system
SPD          Speed
SPDA         Supplier data program
SPFC         Special purpose function code
SPH          Session protocol handler
SPI          Serial peripheral interface
SPINT        Signal processor interrupt
SPL          Split
SPM          Split and monitor
SPM          Split and monitor (SARTS command)
SPOC         Single point of contact
SPS          Split and supervise
SPS          Split and supervise (SARTS command)
SPUC/DL      Serial peripheral unit controller/data link
SQ           Equipment only-customer premises INTER/TRA blocal 1-26
SQA          Simulated facility group (SFG) announcement (SAQ)
SQD          Signal quality detector
SQL/DS       Structured query language/data system
SRA          Selective routing arrangement
SRAM         Static ram
SRCF         Single line remote call forward
SRDC         Subrate data cross connect
SRDM         Subrate data multiplexer
SRI          Subscriber Remote Interface (RLCM)
SRI          Subscriber Remote Interface pack
SRL          Singing return loss
SRV          Service
SRVT         SCCP Routing Verification Test
SS           Dataphone select-a-station INTER/TRA blocal 1-26
SS           Signaling system
SS           Special services
SS7          Signaling system #7 (ccitt)
SSA          Special service automation
SSAS         Station signaling and announcement subsystem
SSB          Single-sideband
SSB          Switched services bureau
SSBAM        Single-sideband amplitude modulation
SSC          Specal service center
SSC          Special service center
SSC          Special services center
SSC          Standard speech circuit     psb4500/-1
SSCP         Subsystem services control point
SSD          No second start dial wink
SSD          No second start dial wink (MDII)
SSDAC        Specal services dispach administration centers
SSF          Sub service field
SSI          Serial signal interface
SSN          Subsystem number
SSN          Switched service network
SSO          Satellite switching office
SSO          Satellite switching office assignments
SSP          Send single pulses (C/I channel code for test mode)
SSP          Service switching point
SSP          Service switching points
SSP          Signal switching point
SSP          Sponsor selective pricing
SSP          Switching service points
SSP          System status panel
SSPC         Ssp controller
SSPRU        Ssp relay unit
SSTR         Selective service trunk reservation (SSTR).
SSTR         Service selective trunk reservation
SSTTSS       Space-space-time-time-space-space network
SSWAP        Switching services work allocation precedures (GTE)
ST           A signal that indicates the end of mf pulses (stop)
ST           Present status of telephone number
ST           Self test request nt (IOM2 monitor message)
ST           Start
ST           Subscriber terminal
STA          Station sset
STAB         Station abbreviation file
STARS        Sampled traffic analysis and repo ts systems
STATMUX      Statistical multiplexer
STB          Standby
STC          Service test center
STC          Serving test center
STC          Switching technical center
STCR         Syncron transfer control register
STD          Standard
STD          Subscriber trunk dialing
STDM         Statistical time division multiplexing
STEP         Services testing evolution platfoem
STEP         Sides static test of IOS and mf on board (in sitest)
STKE         Stack protect error
STLWS        Supplementary trunk and line work station
STM          Synchronous transfer mode
STN          Station definition
STN          Summarize telephone numbers
STOR         Memory storage
STORY        Screening tool for report files (IOS)
STP          Self test pass (IOM2 monitor message)
STP          Signal transfer point
STP          Signal transfer point (SS7)
STP          Stop
STRAT        Strategy
STS          Shared tenant service
STS          Space-time-space network
STS          Space-time-space switch (TMS-TSI-TMS)
STS          Station signaling
STS          Station signaling test (SARTS command)
STS          Steered tenant service
STS          Synchronous transport signal
STS 2060     Sicofi software
STT          Telephone number status
STTP         Supplementalstrunkntest panel
STTP         Supplementary trunk test panel - trunk testing position (1ess)
STU 2000     Stand alone ISDN user board
STU 2040     Stand alone MTS user board
STU 2050     Stand alone PBC user board
STU 2060     Stand alone SICOF user board
STUDIALO     PC software for STU 2xxx
STX          Start of test
STX          Start of text
SU           Signaling unit
SU           Syndes units (syncronizers-dessyncronizers)
SU5IN        Subunit 5 interrupt
SU6IN        Subunit 6 interrupt
SU7IN        Subunit 7 interrupt
SUB          Sub switch
SUB          Sub-addressing (i.251)
SUB          Substitute character (teletex)
SUBL         Sublet service
SUERM        Su error rate monitor
SUFX         Sufix
SUM1         Summary screen
SUP          Supervision
SUS          Suspend (SS7: in ISUP)
SUSP         Suspend (i.451)
SV           Slave
SV           Switched voice
SVB          Serving bureau
SVC          Critical service circuits
SVC          Switched virtual circuit
SVC          Switched virtual circuits
SVL          Service observing loops
SVP          Surge voltage protector  various
SVS          Select vertical spacing (teletex)
SVS          Switched voice service
SW           Switch name
SW           Switched
SWB          Southwestern bell
SWC          Same wire center
SWC          Set work code
SWEQF        Switch equipment failure.
SWFC         Sliding-window flow control
SWFN         Switch function file
SWG          Sub working group
SWS          Switch work station
SWS          Switched signaling
SWS          Switching signal test (SARTS command)
SWST         Switch signature table
SX           Simplex (mode is a PT TR connected togeather)
SX           Simplex signaling
SXS          Step by (X) step
SYC          System control
SYN          Synchronous idle
SYNDES       Synchonizer/dessynchonizer
SYP          Synchronisation pulse
SYS          Machine number
SYS          System
SYS          System manager
SYSGEN       System generation
SZD          Seized
SxS          Step-by-step or strowger switch
T            Double wire pair
T            Intials of person receiving report.
T            Terminaltion
T            Tip
T&A          Toll and assistance
T&L          Termination
T&M          Talk-and-monitor
T&R          Tip and ring
T&R          Two wire phone connection
T-           Transportfunction-
T-BERD       T-carrier Bit Error Rate Tester
T-GRND       Tip-ground
T1/OS        T1 carrier outstate
T1FE         T1 carrier front end
TA           Tandem tie-trunk INTER/TRA blocal 1-26
TA           Terminal adaption
TA           Terminal adaptor
TA           Transfer allowed
TA           Transfer assembly
TAB          Telephone ability battery
TAC          Technical assistance center
TAC          Tei assignment control (IOS)
TAC          Terminal access circuit
TAC          Test and access circuit
TACD         Telephone area code directory
TAD          Test access digroup
TAG          Translation administration group
TAI          Tie pair assignment inquiry
TAN          Technation access network
TAN          Test access network
TAP          Telephone assistance plan
TAP          Teletex access protocol (x.430: p5)
TAP          Test access path
TAP          Touchtone assignment priority number
TARE         Tariff table (AMA NTI)
TAS          Telephone answering service
TASC         Technical assistance service center
TASC         Telecommunications alarm and surveillance control
TASC         Telecommunications alarm surveillance and control system
TASI         Time assignment speech interpolartion
TASI         Time assignment speech interpolation system
TAT          Test access trunk
TAT          Test alignment of frame terminal
TAT          Transatlantic telephone
TATS         Trouble analysis of transmission and signaling
TAU          Time assignment unit
TBL          Trouble
TC           Control/remote metering-telegraph grade INTER/TRA blocal 1-26
TC           Timing counter
TC           To cable
TC           Toll center
TC           Transaction capabilities
TC15         Reports overall traffic condition - 1AESS traffic condition
TCA          Telephone company administration
TCAP         Telecommunications alarm surveillance
TCAP         Transaction (ie sdngtcap)
TCAP         Transaction capabilities application part
TCAP         Transaction capabilities applications port
TCAS         T-carrier administration system
TCAS         T-carrier administration system)
TCAS         T-carrier administrative system
TCC          Toll control center
TCC          Trunk class code
TCG          Test call generation
TCIF         Telecommunications industry forum
TCM          Time compression multiplexer
TCM          Trellis coded modulation
TCP          Transport control protocol (DOD)
TCR          Transient call record
TCS          Terminating code screening
TCSP         Tandem cross section program
TCU          Timing control unit
TD           Test direction
TD           Tone decoders
TDAS         Traffic data administration system
TDAS         Translation data assemblern system
TDC          Tape data controller
TDC          Telex destination code (ISO 7498)
TDC          Terrestrial data circuit
TDD          Telecommunications device for deaf
TDF          Trunk distributing frame
TDM          Time division multiplex
TDMA         Tdm access
TDRS         Traffic datatrecorderasystem
TE           Terminal equipment
TE           Transit exchange (contains PSF)
TE           Transverse electric
TED          Text editor
TEHO         Tail end hop off
TEI          Terminal endpoint identifier
TELEX        Teleprinter exchange
TELNET       Virtual terminal protocol
TELSAM       Telephone service attitude measurement
TEN          Trunk equipment number
TER          Terminal
TERM         Terminate
TERM         Terminating
TEST         In test mode.
TET          Display or change band filter file
TF           Telephoto/facsimile INTER/TRA blocal 1-26
TFC          Transfer frame changes
TFLAP        T-carrier fault-locating application program
TFS          Trunk forecasting system
TFTP         Television facility test position
TG           Tip-to-ground
TG           Translation guide
TGC          Manual trunk group controls messages.
TGC          Terminal group controller
TGID         Trunk group id
TGMEAS       Basic trunk group measurements
TGN          Trunk group number
TH           Trouble history
THGP         Thousands groups
THL          Trans hybrid loss
TI           Test indication
TIA          Telephone information access
TIC          Telecom ic (IOM-bus)
TICOM        Treated interface common circuit.
TIDE         Traffic information distributor & editor
TIG          Dial transfer input generator
TIM          Timing
TIMEREL      Time release
TINTF        The T interface is down.
TIP          The installation practices
TIRKS        Trunk integrated record keeping system
TK           Local PBX trunk INTER/TRA blocal 1-26
TK           Trunk cable and pair number
TKT          Trouble ticket file
TL           Non-tandem tie trunk INTER/TRA blocal 1-26
TL           Test line
TL02         Reason test position test was denied - 1AESS traffic
TLC          Tail COSMOS
TLC          Translate lanavar/CPS
TLI          Telephone line identifier
TLK          Talk
TLM          Trouble locating manual
TLN          Trunk line network
TLP          Transmission level point
TLPU         Telecommunications line processor unit
TLS          Tail switch
TLTP         Trunk line and test panel
TLTP         Trunk line testrpanelng frame
TLWS         Trunk and line work station
TM           Testmode
TM           Transverse magnetic
TM           Trasfer modus
TM           Trunk mantance
TM1          Terminal 1 (IOS)
TMA          Trunk module analog
TMAS         Transport maintance and administration systems
TMC          Timeslot management channel
TMD          Trunk module digital
TMDF         Trunk main distributing frame
TME          Trunk module equipment
TMMS         Telephone message management system
TMPS         Trunk maintenanceaposition
TMR          Transient memory record
TMRS         Traffic MeasuRment (GTE)
TMRS         Traffic measurement and recording system
TMRS         Traffic metering remote system
TMS          Time mutiplexed switch
TMS          Time-multiplexed switch
TMS          Time-multiplexed switching
TMT          Traffic management.
TMX          Trunk module with x-interface
TN           Telephone number
TN           Tone (C/I channel code: wake up signal)
TN           Transaction number
TN01         Trunk diagnostic found trouble - 1AESS trunk network
TN02         Dial tone delay alarm failure - 1AESS trunk network
TN04         Trunk diag request from test panel - 1AESS trunk network
TN05         Trunk test procedural report or denials - 1AESS trunk network
TN06         Trunk state change - 1AESS trunk network
TN07         Response to a trunk type and status request - 1AESS trunk network
TN08         Failed incoming or outgoing call - 1AESS trunk network
TN09         Network relay failures - 1AESS trunk network
TN10         Response to trk-list input usually a request from test position
TN11         Hourly status of trunk undergoing tests - 1AESS trunk network
TN16         Daily summary of precut trunk groups - 1AESS trunk network
TNC          Terminal node controller
TNDS         Total network data system
TNF          Telephone number format
TNN          Trunk network number
TNOP         Total network operation plan
TNOP         Total network operations plan
TNPC         Traffic network planning center
TNS          Telephone number swap
TO           Toll office
TOC          Television operating center
TOC          Transfer order completion
TOC0         Reports status of less serious overload conditions - 1AESS traffic
TOC0         Serious traffic condition - 1AESS traffic overload
TOE          Transfer order establishment
TOF          Mass oe transfer order frame listings
TOI          Dial transfer order inquiry
TOL          Transfer order lists
TOO          Transfer order omissions
TOP          Task-oriented practices
TOP          Technical office protocol
TOPQ         Top of queue (Quasi SDL)
TOPS         Timesharing operating system
TOPS         Traffic operator position system
TOS          Trunk orderf-service (list)
TOSS/MP      Traffic operator sequence simulator/mult purpose
TOW          Transfer order withdrawal
TP           Dacs test port or test position
TP           Test position
TP           Tie pair
TP           Toll point
TP 52A       SARTS test position 52A
TPC          TOPS (DMS) position controllers
TPH          Transport protocol handler
TPMP         Tnds performance measurement plan
TPMP         Total network data system performance measurement plan
TPR          Taper code
TPU          Tie pair usage report
TQ           Television grade customized-service code for LATA access
TQ           Trunk query
TQA          Trunk group queuing announcements
TR           Test register
TR           Toll regions
TR           Transfer register
TR           Trunk reservation controls messages.
TR           Turret or automatic call distributor (ACD) trunk INTER/TRA blocal
TR01         Translation information - 1AESS
TRAC         Call tracing
TRANS        Transmit
TRB          Periodic trouble status reporting
TRBL         Unspecified trouble.
TRBLORG      Origination trouble.
TRC          Transfer order recent change report
TRCC         T-carrier restoration and control centers
TRCO         Trouble reporting control office
TRE          Transmission equipment
TREAT        Trouble report evaluation analysis tool
TREAT        Trouble reporteandsanalysisstool
TREQF        Transmission equipment failure.
TRFC15       Fifteen minute traffic report
TRG          Trouble reference guide
TRI          Tone ringer          psb652x
TRI          Transmission equipment assignment inquiry
TRK          Analog or digital recorded announcement trunks
TRK          Trunks
TRKBD        Trunk board.
TRKCT        Trunk circuit.
TRM          Two mile optically remote switching module
TRM          Two-mile remote switching module
TRMG         Terminal group
TRMSN        Transmission
TRMTR        Tramsmitter
TRMTR        Transmitter
TRNS         Translations
TRR          Tip-ring reversal
TRR          Tip-ring reversal (MDII)
TRR          Tip-ring reverse
TRU          Transmit/receive unit
TRVR         Translation verification
TRW          Total reservation order withdrawal
TS           Test number
TS           Time slot
TSA          Time slot assignment
TSC          Test system controller
TSC          Tristate control
TSC/RTU      Test systems controller/remote test unit
TSCPF        Time switch and call processor frame
TSCPF        Time switch and central processor frame
TSG          Timing signal generator
TSI          Time slot interchanger
TSI          Time slot interchangers
TSI          Time-slot interchange
TSIIN        Time-slot interchange interrupt
TSIU         Time slot interchange Unit
TSL          Line equipment summary report
TSMS         Traffic seperation measurment system
TSN          Test session number
TSN          Traffic statistics on telephone numbers
TSO          Time sharing option
TSORT        Transmission system optimum relief tool
TSP          Test supervisor
TSP          Traffic service position
TSPS         Traffic service position system
TSS          Trunk servicing system
TSS          Trunk servicing systems
TSST         Time-space-space-time network
TST          Test
TST          Time-space-time network
TST          Time-space-time switch (TSI-TMS-TSI)
TST          Transmission test
TST          Traveling-wave tube
TSTS         Time-space-time-space network
TSV          Test ststus verification (monitor)
TSW          Total service order withdrawal
TT           Teletypewriter channel INTER/TRA blocal 1-26
TT           Trunk type
TTA          Terminating traffic area
TTAA         Transmission theory and applacations
TTC          Terminating toll center
TTE          Trunk trafic engineering
TTFCOM       Test transmission facility common
TTFCOM       Transmission test facility common
TTL          Transistor-transistor logic
TTMI         Trunkytransmission maintenance index
TTP          Trunk test panel
TTR          Operator trunk trouble reports
TTR          Operator trunk trouble reports (MDII)
TTS          Trunk time switch
TTSI         Transmit time slot interchanger
TTTN         Tandem tie trunk network
TTU          Trasnslation Table Update (GTE)
TTY          Get tty name  - COSMOS command
TTY          Teletypewriter
TTYC         Tty controller
TU           Transmit unit
TU           Trunk unit
TU           Turret or automatic call distributor (acd) line INTER/TRA blocal
TUCHBD       Trunk unit channel board
TUP          Telephone user part (SS7: q.72x)
TUR          Traffic usage recording
TUR          Trunk utilization report
TUT          Trunk under test
TV           TV channel one way 15khz audio-service code for LATA access
TW           TV channel one way 5khz audio-service code for LATA access
TW           Twist
TW02         Dump of octal contents of memory - 1AESS translation
TWX          Teletype writer exchange
TWX          Teletypewriter exchange
TX           Dedicated facility INTER/TRA blocal 1-26
TX           Tone transceivers
TXC          Text checker
TXM          Transfer centrex management
TYP          Switch type
TYP          Type
Talkoff      Take off
Trunk        Trunk
TxSD         Transmit serial data
U            Single wire pair
U(k0)        (ger) u0 echo cancellation interface
U(p0)        (ger) u0 burst mode interface
U-           Unnumbered (u-frames)
U-DSL        U-interface digital subscriber line
UA           Unnumbered ack (LAP-D response)
UA           User agent (x.400)
UAE          User application entity  or  user agent entity (x.400)
